perturbation,dataset,n_cells,closest_severity,recovery_score,disease_score,dist_healthy,dist_mild,dist_moderate,dist_severe,dist_fatal,dist_recovered,sim_healthy,sim_mild,sim_moderate,sim_severe,sim_fatal,sim_recovered
ICMT_P1P2-1|ICMT_P1P2-2,hek293t,5,recovered,27.152622,-2.2362356,84.00716,84.95336,84.25868,84.94271,84.16073,81.29645,0.011763715,0.011634217,0.01172901,0.011635658,0.0117425015,0.012151193
ZNF766_P1P2-1|ZNF766_P1P2-2,hek293t,6,recovered,27.102276,-3.2802145,83.93302,85.03893,84.28973,84.99886,84.10881,81.36484,0.011773984,0.011622645,0.011724741,0.011628061,0.011749665,0.012141103
MED31_P1P2-1|MED31_P1P2-2,hek293t,5,recovered,27.082085,-3.4043813,84.08934,85.09908,84.477455,85.16859,84.476974,81.54601,0.011752353,0.011614526,0.011698991,0.0116051575,0.011699057,0.012114456
ZFP30_P1P2-1|ZFP30_P1P2-2,hek293t,5,recovered,27.023201,-3.2989674,83.77682,84.79496,84.18219,84.84695,84.08109,81.22141,0.011795677,0.011655697,0.011739544,0.011648638,0.011753493,0.012162282
KRTAP21-3_ENST00000444335.1-1|KRTAP21-3_ENST00000444335.1-2,hek293t,5,recovered,27.004963,-2.83355,83.533806,84.52168,83.88681,84.54905,83.78581,80.91371,0.011829587,0.011692941,0.011780393,0.011689201,0.0117944265,0.012207968
DUSP11_P1P2-1|DUSP11_P1P2-2,hek293t,6,recovered,26.984114,-3.3869944,84.08807,85.110825,84.46907,85.165184,84.44059,81.561325,0.011752528,0.0116129415,0.011700139,0.011605616,0.011704039,0.012112209
SLC28A1_P1-1|SLC28A1_P1-2,hek293t,5,recovered,26.957603,-3.152176,84.65059,85.65494,84.97121,85.691765,84.99407,82.1161,0.011675343,0.011540024,0.011631802,0.011535121,0.011628709,0.012031364
ESD_P1P2-1|ESD_P1P2-2,hek293t,5,recovered,26.946503,-4.088331,83.75177,84.86147,84.20831,84.92018,84.13127,81.31273,0.011799163,0.0116466675,0.011735944,0.011638709,0.011746565,0.012148789
AGPAT3_P1P2-1|AGPAT3_P1P2-2,hek293t,5,recovered,26.927994,-3.5873084,83.52572,84.57328,83.965706,84.634926,83.86688,81.01835,0.011830718,0.011685891,0.011769454,0.011677478,0.011783159,0.012192394
B4GALT1_P1P2-1|B4GALT1_P1P2-2,hek293t,5,recovered,26.891869,-2.833602,83.965675,84.98777,84.30738,84.97576,84.19078,81.38131,0.011769459,0.011629561,0.011722315,0.011631185,0.011738359,0.012138676
non-targeting_02896|non-targeting_03244,hek293t,7,recovered,26.884916,-4.027875,83.85385,84.98625,84.25831,85.013374,84.22328,81.42192,0.011784969,0.011629766,0.011729063,0.011626099,0.011733883,0.012132695
RAMP3_P1P2-1|RAMP3_P1P2-2,hek293t,5,recovered,26.849218,-3.244763,83.93363,84.9645,84.30849,84.99507,84.2579,81.4097,0.011773899,0.011632709,0.011722163,0.011628574,0.011729118,0.012134494
LMCD1_P1P2-1|LMCD1_P1P2-2,hek293t,5,recovered,26.846703,-3.0305505,84.24464,85.2507,84.600746,85.27576,84.54906,81.703186,0.011730943,0.011594108,0.011682142,0.011590742,0.011689199,0.012091433
non-targeting_00986|non-targeting_00554,hek293t,6,recovered,26.823767,-3.6448464,83.51046,84.63098,83.869385,84.62702,83.813034,81.030304,0.011832855,0.011678017,0.011782812,0.011678556,0.011790641,0.012190617
FAM83F_P1P2-1|FAM83F_P1P2-2,hek293t,5,recovered,26.8171,-3.220676,83.36511,84.3802,83.69457,84.430695,83.703674,80.82653,0.011853241,0.011712317,0.011807132,0.011705395,0.011805863,0.012220975
HEPACAM2_P2-1|HEPACAM2_P2-2,hek293t,9,recovered,26.80827,-2.7779765,83.579124,84.550156,83.91202,84.5869,83.87049,80.991394,0.011823248,0.011689049,0.011776896,0.011684031,0.011782658,0.012196402
PXYLP1_P1P2-1|PXYLP1_P1P2-2,hek293t,5,recovered,26.807758,-2.9429739,83.77275,84.76215,84.12672,84.79873,84.06973,81.21271,0.0117962435,0.011660155,0.0117471935,0.011655184,0.011755062,0.01216357
LILRB2_P1P2-1|LILRB2_P1P2-2,hek293t,5,recovered,26.804363,-2.1871333,84.08747,85.02838,84.30785,85.01605,84.25095,81.440254,0.011752612,0.011624071,0.01172225,0.011625737,0.011730074,0.012129997
H4C16_ENST00000539745.1-1|H4C16_ENST00000539745.1-2,hek293t,7,recovered,26.798712,-2.158469,82.04737,82.9893,82.29717,82.995155,82.301445,79.32943,0.01204132,0.011906278,0.012005209,0.0119054485,0.012004593,0.012448737
ATP2B3_P1P2-1|ATP2B3_P1P2-2,hek293t,6,recovered,26.79384,-3.7762911,83.75029,84.81827,84.196365,84.88001,84.17408,81.30026,0.01179937,0.011652531,0.01173759,0.011644153,0.011740661,0.012150629
VWCE_P1P2-1|VWCE_P1P2-2,hek293t,5,recovered,26.791616,-3.1989326,84.11649,85.16659,84.48897,85.16998,84.39142,81.603386,0.0117486045,0.011605427,0.011697416,0.011604969,0.011710779,0.012106041
LYPD3_P1P2-1|LYPD3_P1P2-2,hek293t,5,recovered,26.77179,-3.8507094,83.56517,84.63311,84.017586,84.70662,83.97681,81.12349,0.011825199,0.011677726,0.011762273,0.01166771,0.011767917,0.012176784
ANKRD13C_P1P2-1|ANKRD13C_P1P2-2,hek293t,9,recovered,26.7533,-3.1632016,83.60647,84.63464,83.997696,84.661865,83.8843,81.08033,0.011819427,0.011677517,0.011765025,0.011673806,0.011780742,0.012183187
TRAP1_P1P2-1|TRAP1_P1P2-2,hek293t,10,recovered,26.737875,-3.4038951,83.10712,84.14303,83.497406,84.1989,83.461784,80.5998,0.0118896,0.0117449425,0.011834683,0.011737241,0.011839674,0.012254932
CNPPD1_P2-1|CNPPD1_P2-2,hek293t,5,recovered,26.737385,-2.4828892,84.27397,85.22117,84.561966,85.23708,84.54845,81.68384,0.011726907,0.011598079,0.011687436,0.011595939,0.011689283,0.012094262
UBXN2B_P1P2-1|UBXN2B_P1P2-2,hek293t,5,recovered,26.73566,-2.2221558,83.89965,84.84646,84.17089,84.83464,84.092155,81.26413,0.011778612,0.011648704,0.011741101,0.011650308,0.011751965,0.012155967
TDRD5_P1P2-1|TDRD5_P1P2-2,hek293t,6,recovered,26.731987,-2.793942,83.4059,84.364426,83.74,84.41774,83.72673,80.82954,0.011847513,0.011714482,0.011800802,0.01170717,0.011802651,0.012220526
NEMP1_P1P2-1|NEMP1_P1P2-2,hek293t,5,recovered,26.714622,-3.9992018,82.87685,83.933945,83.3729,84.04626,83.274376,80.44487,0.011922241,0.011773855,0.011852146,0.011758307,0.011866003,0.012278244
RAD9A_P1P2-1|RAD9A_P1P2-2,hek293t,5,recovered,26.705326,-3.321328,84.336075,85.40403,84.72316,85.40196,84.62533,81.86202,0.011718374,0.011573534,0.011665459,0.011573811,0.011678787,0.012068255
NPTXR_P1P2-1|NPTXR_P1P2-2,hek293t,5,recovered,26.689575,-2.2455616,82.53323,83.56033,82.80636,83.48649,82.68993,79.864784,0.011971284,0.011825875,0.011932269,0.011836212,0.011948869,0.012366323
MCC_P1P2-1|MCC_P1P2-2,hek293t,6,recovered,26.68849,-3.7504513,83.81244,84.87039,84.241104,84.93813,84.21001,81.38128,0.011790724,0.011645458,0.011731429,0.011636278,0.011735711,0.012138681
NEFL_P1P2-1|NEFL_P1P2-2,hek293t,7,recovered,26.684566,-3.5382855,83.79574,84.85613,84.226395,84.89533,84.133286,81.33735,0.011793045,0.011647392,0.011733455,0.011642076,0.011746287,0.012145157
PKN2_P1P2-1|PKN2_P1P2-2,hek293t,8,recovered,26.67722,-2.1110215,83.305916,84.2734,83.542786,84.233604,83.52046,80.64787,0.011861564,0.011726987,0.01182833,0.011732462,0.011831455,0.012247716
S1PR5_P1P2-1|S1PR5_P1P2-2,hek293t,5,recovered,26.669292,-2.7180283,83.75587,84.72489,84.02744,84.75409,84.058044,81.19288,0.011798593,0.011665223,0.011760909,0.011661251,0.011756677,0.012166504
PINK1_P1P2-1|PINK1_P1P2-2,hek293t,5,recovered,26.666924,-3.182353,83.59525,84.674576,83.98566,84.65317,83.84827,81.08798,0.011820994,0.011672074,0.011766692,0.011674992,0.011785745,0.012182051
PIK3R2_P1-1|PIK3R2_P1-2,hek293t,5,recovered,26.665054,-3.190021,83.37751,84.45078,83.73896,84.43911,83.63348,80.86485,0.011851499,0.011702643,0.011800948,0.011704242,0.011815655,0.012215254
PEX16_P1P2-1|PEX16_P1P2-2,hek293t,5,recovered,26.66435,-2.702933,84.24385,85.22604,84.56744,85.234505,84.489716,81.69518,0.011731052,0.011597424,0.011686689,0.011596287,0.011697314,0.012092602
ELOVL1_P1P2-1|ELOVL1_P1P2-2,hek293t,7,recovered,26.654503,-3.360392,84.22863,85.30129,84.59882,85.30068,84.55149,81.76612,0.011733146,0.011587312,0.011682403,0.0115873935,0.011688867,0.012082239
HCFC1_P1P2-1|HCFC1_P1P2-2,hek293t,7,recovered,26.645493,-3.0427876,83.403305,84.42016,83.77726,84.44622,83.674255,80.87607,0.011847877,0.011706838,0.011795616,0.011703268,0.011809965,0.012213581
TBCEL_P1P2-1|TBCEL_P1P2-2,hek293t,6,recovered,26.643398,-3.5079014,83.48424,84.51675,83.89298,84.5841,83.85826,81.02043,0.011836528,0.011693616,0.0117795365,0.011684413,0.011784356,0.012192084
SLC15A4_P1P2-1|SLC15A4_P1P2-2,hek293t,5,recovered,26.640354,-3.5164022,84.24788,85.28714,84.68532,85.33894,84.59371,81.80875,0.011730497,0.011589212,0.011670611,0.011582259,0.011683101,0.012076019
METAP1D_P1P2-1|METAP1D_P1P2-2,hek293t,7,recovered,26.637182,-3.3830278,83.41582,84.48113,83.83645,84.50101,83.71751,80.93489,0.011846121,0.011698488,0.011787387,0.011695769,0.011803935,0.012204813
non-targeting_02716|non-targeting_00915,hek293t,6,recovered,26.632576,-3.0561326,83.52255,84.553215,83.85124,84.56567,83.80645,81.00329,0.011831162,0.011688631,0.011785331,0.01168693,0.011791556,0.012194633
SERPINB8_P1P2-1|SERPINB8_P1P2-2,hek293t,5,recovered,26.626503,-2.860371,84.02617,85.03125,84.33146,85.03885,84.33563,81.49833,0.011761085,0.011623683,0.011719007,0.011622657,0.011718434,0.012121458
PSTPIP1_P1P2-1|PSTPIP1_P1P2-2,hek293t,5,recovered,26.617981,-3.54275,82.977066,84.04548,83.39708,84.08792,83.27599,80.50725,0.011908013,0.011758415,0.011848751,0.01175255,0.011865775,0.012268848
CAMK4_P1P2-1|CAMK4_P1P2-2,hek293t,5,recovered,26.61352,-3.2215395,83.36669,84.35652,83.7419,84.432365,83.75993,80.867805,0.011853019,0.011715567,0.011800538,0.011705166,0.011798027,0.012214813
PIH1D2_P1P2-1|PIH1D2_P1P2-2,hek293t,5,recovered,26.602768,-3.3947134,84.378296,85.45612,84.75248,85.4527,84.673615,81.93461,0.011712578,0.011566561,0.01166147,0.011567019,0.011672205,0.012057693
COMMD10_P1P2-1|COMMD10_P1P2-2,hek293t,5,recovered,26.594458,-3.2570648,84.25637,85.3043,84.62118,85.31532,84.5748,81.792915,0.011729329,0.011586908,0.011679353,0.011585428,0.011685683,0.012078328
non-targeting_03768|non-targeting_01358,hek293t,5,recovered,26.590971,-3.8964477,83.30364,84.39429,83.74539,84.45432,83.68393,80.89512,0.011861884,0.011710385,0.011800052,0.0117021585,0.011808616,0.01221074
PAM_ENST00000438793.3-1|PAM_ENST00000438793.3-2,hek293t,6,recovered,26.59034,-1.8106247,83.353,84.34406,83.57623,84.24261,83.46065,80.674194,0.011854944,0.011717277,0.011823652,0.011731222,0.011839833,0.012243769
